Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 1.18192431927 6.49999999993e-05 0.00048828125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.297613978386 6.29999999973e-05 0.001953125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.141535496712 6.39999999947e-05 0.00390625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.0721984863281 6.30000000115e-05 0.0078125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.0722543954849 6.39999999947e-05 0.0078125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0373368024826 8.70000000077e-05 0.015625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0372938871384 6.30000000115e-05 0.015625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.0199100017548 6.29999999973e-05 0.03125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0195053100586 6.29999999973e-05 0.03125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.0105337142944 6.10000000023e-05 0.0625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.0121243000031 6.29999999973e-05 0.0625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.0119885921478 6.40000000089e-05 0.0625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.0105777025223 6.50000000064e-05 0.0625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.00619029998779 6.29999999973e-05 0.125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.00613191127777 6.29999999973e-05 0.125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.00620510578156 6.19999999998e-05 0.125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.00623869895935 6.19999999998e-05 0.125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00394070148468 6.29999999973e-05 0.25
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 2.23763539791 6.39999999947e-05 0.00048828125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.543889594078 6.10000000165e-05 0.001953125
